magic	2.1	0.53852	[2, 2, 3, 2, 1, 2, 2, 3, 2, 2]
decent	1.4	0.48990	[1, 1, 2, 2, 1, 1, 1, 2, 2, 1]
waning	-2.2	0.40000	[-2, -2, -2, -2, -3, -3, -2, -2, -2, -2]
scarce	-1.5	0.50000	[-1, -1, -2, -2, -1, -2, -2, -1, -2, -1]
trump	2.6	0.48990	[3, 2, 3, 3, 3, 2, 2, 3, 3, 2]
bar	-1.0	0.63246	[-1, -1, -2, 0, -1, -1, -1, 0, -1, -2]
deserve	3.7	0.64031	[2, 4, 4, 4, 4, 3, 4, 4, 4, 4]
properly	1.1	0.53852	[1, 1, 0, 1, 2, 2, 1, 1, 1, 1]
genius	2.3	0.45826	[2, 3, 2, 2, 3, 2, 2, 2, 2, 3]
retire	-1.7	0.64031	[-1, -2, -1, -2, -2, -3, -1, -1, -2, -2]
suggestions	2.1	0.53852	[2, 2, 2, 3, 2, 3, 2, 2, 1, 2]
wild	-1.4	0.48990	[-1, -2, -1, -1, -2, -1, -1, -2, -2, -1]
irrelevant	-2.1	0.30000	[-2, -2, -2, -2, -2, -3, -2, -2, -2, -2]
throw	-1.9	0.70000	[-2, -2, -2, -3, -1, -2, -1, -2, -1, -3]
fell	-1.5	0.50000	[-2, -2, -1, -2, -2, -1, -1, -1, -1, -2]
consensus	3.0	0.63246	[4, 3, 3, 3, 4, 3, 3, 2, 3, 2]
expert	1.8	0.60000	[1, 1, 2, 2, 2, 2, 1, 2, 3, 2]
split	-1.6	0.66332	[-1, -1, -3, -2, -1, -1, -2, -2, -1, -2]
giant	-0.6	0.66332	[-1, -1, 0, 0, 0, -1, 0, 0, -2, -1]
blow	-1.6	0.48990	[-2, -2, -1, -2, -1, -2, -1, -2, -2, -1]
relevant	1.3	0.45826	[1, 1, 1, 1, 1, 2, 2, 2, 1, 1]
barely	-1.5	0.50000	[-1, -2, -1, -1, -2, -2, -1, -2, -1, -2]
begging	-3.1	0.70000	[-3, -3, -2, -2, -3, -4, -3, -4, -3, -4]
survive	1.0	0.44721	[0, 1, 1, 2, 1, 1, 1, 1, 1, 1]
epic	2.4	0.66332	[1, 2, 3, 3, 2, 2, 3, 3, 3, 2]
upside	2.3	0.45826	[2, 3, 2, 3, 2, 2, 3, 2, 2, 2]
bleed	-1.6	0.48990	[-2, -2, -1, -2, -2, -2, -1, -2, -1, -1]
